City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
29,Kysyl-Syr,RU,2020-06-21 04:07:07,63.9,122.76,82.45,36,100,3.8
30,Laureles,US,2020-06-21 04:07:07,26.11,-97.49,84.0,78,1,13.87
31,Kadiri,IN,2020-06-21 04:07:07,14.12,78.17,83.86,54,99,18.03
32,Vila Do Maio,CV,2020-06-21 04:07:07,15.13,-23.22,75.2,78,20,12.75
33,Jamestown,US,2020-06-21 03:59:01,42.1,-79.24,68.0,82,90,4.09
34,Arraial Do Cabo,BR,2020-06-21 03:57:50,-22.97,-42.03,73.36,87,0,11.25
35,Broome,US,2020-06-21 04:01:27,42.25,-75.83,66.2,88,20,4.7
36,Bowen,AU,2020-06-21 04:07:08,-20.02,148.23,78.01,69,75,11.41
37,Cagliari,IT,2020-06-21 04:07:08,39.24,9.09,64.4,93,0,5.82
38,Albany,US,2020-06-21 04:00:35,42.6,-73.97,75.99,68,10,2.15
39,Castro,BR,2020-06-21 04:00:14,-24.79,-50.01,55.47,87,0,3.15
40,Butaritari,KI,2020-06-21 04:00:26,3.07,172.79,83.82,76,76,12.33
41,Qeshm,IR,2020-06-21 04:07:09,26.96,56.27,91.4,79,75,6.93
42,Muli,MV,2020-06-21 04:07:09,2.92,73.57,83.53,76,97,10.49
43,Fortuna,US,2020-06-21 04:07:10,40.6,-124.16,62.01,100,90,6.93
44,Capoeiras,BR,2020-06-21 04:07:10,-8.73,-36.63,61.45,100,13,9.62
45,Guymon,US,2020-06-21 04:07:10,36.68,-101.48,75.2,57,1,9.17
46,Katsuura,JP,2020-06-21 04:07:11,35.13,140.3,77.0,81,53,4.0
47,Chokurdakh,RU,2020-06-21 03:58:16,70.63,147.92,91.33,19,0,8.68
48,Birao,CF,2020-06-21 04:07:11,10.28,22.79,73.81,84,23,6.64
49,Balgazyn,RU,2020-06-21 04:07:11,51.0,95.2,71.73,42,1,6.53
50,Palauig,PH,2020-06-21 04:07:11,15.44,119.9,86.05,70,8,5.5
51,Oxapampa,PE,2020-06-21 04:07:12,-10.58,-75.4,58.51,90,63,1.25
52,Atuona,PF,2020-06-21 04:00:29,-9.8,-139.03,80.22,64,0,11.3
53,Stornoway,GB,2020-06-21 04:07:12,58.21,-6.39,54.0,93,100,6.93
54,San Angelo,US,2020-06-21 04:07:12,31.46,-100.44,82.99,59,98,14.34
55,Praia Da Vitoria,PT,2020-06-21 04:07:13,38.73,-27.07,66.2,88,20,5.86
56,Necochea,AR,2020-06-21 04:07:13,-38.55,-58.74,46.99,69,100,4.0
57,Beringovskiy,RU,2020-06-21 04:07:13,63.05,179.32,46.22,57,0,7.49
58,Hasaki,JP,2020-06-21 04:01:53,35.73,140.83,77.0,78,75,10.29
59,Vangaindrano,MG,2020-06-21 04:07:14,-23.35,47.6,64.89,93,100,6.67
60,Hobyo,SO,2020-06-21 04:07:14,5.35,48.53,79.56,67,23,23.49
61,Aklavik,CA,2020-06-21 04:07:14,68.22,-135.01,50.0,71,90,10.29
62,Santa Rosa,PH,2020-06-21 04:07:14,14.31,121.11,93.0,59,20,5.82
63,El Campo,US,2020-06-21 04:07:15,29.2,-96.27,80.01,83,1,4.7
64,Abalak,RU,2020-06-21 04:07:15,58.13,68.59,54.99,55,0,5.7
65,Ribeira Grande,PT,2020-06-21 04:01:01,38.52,-28.7,65.5,91,13,9.78
66,Bambanglipuro,ID,2020-06-21 04:00:36,-7.95,110.28,84.69,69,91,14.09
67,Marzuq,YE,2020-06-21 04:04:27,14.4,46.47,83.52,36,5,5.32
68,Jalu,LY,2020-06-21 04:00:49,29.03,21.55,72.68,72,0,9.93
69,Zhigansk,RU,2020-06-21 04:00:43,66.77,123.37,80.82,29,0,8.14
70,Zabid,YE,2020-06-21 04:07:16,14.2,43.32,87.21,62,0,9.78
71,Georgetown,MY,2020-06-21 04:00:53,5.41,100.34,89.6,70,20,2.24
72,Bira,RU,2020-06-21 04:07:17,49.0,132.47,54.0,95,100,9.53
73,Alugan,PH,2020-06-21 04:07:17,12.22,125.48,86.4,69,100,11.39
74,Bluff,NZ,2020-06-21 04:00:30,-46.6,168.33,46.24,74,2,5.32
75,Copiapo,CL,2020-06-21 04:06:23,-27.37,-70.33,53.6,93,90,2.24
76,Saint-Philippe,RE,2020-06-21 04:00:48,-21.36,55.77,69.01,72,75,6.93
77,Yar-Sale,RU,2020-06-21 04:07:18,66.83,70.83,50.97,72,93,10.74
78,Vardo,NO,2020-06-21 03:58:57,70.37,31.11,46.44,77,0,7.49
79,Nhamunda,BR,2020-06-21 04:07:18,-2.19,-56.71,73.6,95,86,1.83
80,Clyde,US,2020-06-21 04:07:19,41.3,-82.98,78.01,57,21,1.99
81,Hermanus,ZA,2020-06-21 04:00:38,-34.42,19.23,57.0,94,15,8.99
82,East London,ZA,2020-06-21 03:59:08,-33.02,27.91,71.6,24,0,11.41
83,Bathsheba,BB,2020-06-21 04:01:20,13.22,-59.52,82.4,83,40,19.46
84,Arauca,CO,2020-06-21 04:07:20,7.08,-70.76,72.03,98,17,2.62
85,Fairlie,GB,2020-06-21 04:07:20,55.76,-4.86,55.4,93,100,8.05
86,Sioux Lookout,CA,2020-06-21 04:07:20,50.1,-91.92,59.0,82,90,2.24
87,Victoria,HK,2020-06-21 03:57:42,22.29,114.16,91.99,62,93,15.99
88,Mahebourg,MU,2020-06-21 04:00:31,-20.41,57.7,68.0,88,75,14.99
89,Provideniya,RU,2020-06-21 04:00:32,64.38,-173.3,61.79,35,0,7.16
90,Acapulco,MX,2020-06-21 04:00:52,16.86,-99.89,82.31,73,100,2.84
91,Barranco,PA,2020-06-21 04:07:21,9.52,-82.7,77.34,86,100,2.77
92,Buchanan,LR,2020-06-21 04:07:21,5.88,-10.05,77.09,87,100,3.51
93,Tsogni,GA,2020-06-21 04:07:21,-2.79,10.1,72.16,92,79,5.79
94,Gallup,US,2020-06-21 04:07:22,35.53,-108.74,73.4,10,1,8.05
95,Sambava,MG,2020-06-21 04:07:22,-14.27,50.17,74.66,90,98,14.43
96,Arman,RU,2020-06-21 04:07:22,59.7,150.17,59.18,62,12,8.32
97,Port-Gentil,GA,2020-06-21 04:07:22,-0.72,8.78,75.87,85,89,15.21
98,Siquijor,PH,2020-06-21 04:07:23,9.21,123.52,87.8,74,40,9.17
99,Hithadhoo,MV,2020-06-21 04:01:26,-0.6,73.08,83.73,73,82,10.11
100,Bethel,US,2020-06-21 04:01:09,41.37,-73.41,69.8,83,1,3.31
101,Kodiak,US,2020-06-21 04:00:06,57.79,-152.41,51.8,87,90,12.75
