City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
321,Linxia,CN,64.11,35.6,103.21,GreenTree Inn Linxia Autonomous Prefecture Linxia Oxford River Avenue Express Hotel
322,Port Lincoln,AU,57.43,-34.73,135.87,Port Lincoln Hotel
323,Vangaindrano,MG,67.84,-23.35,47.6,Hotel Fanilo
324,Mahabaleshwar,IN,70.03,17.92,73.67,Evershine Resort
325,Aguas Verdes,PE,72.86,-3.48,-80.25,hotel casino mr money
327,Ambon,ID,80.01,-3.7,128.18,Swiss-Belhotel Ambon
328,Aykhal,RU,80.6,66.0,111.5,
329,Katsuura,JP,69.8,35.13,140.3,Katsuura Hilltop Hotel & Residence
330,Sandwick,GB,51.8,60.0,-1.25,Beach House Self-Catering Accomodation
331,Pacific Grove,US,57.2,36.62,-121.92,Lovers Point Inn
333,Kindu,CD,71.46,-2.95,25.95,Hotel Karibu
336,Pisco,PE,55.99,-13.7,-76.22,Hostal San Isidro Oficial
338,Faanui,PF,77.4,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
340,Kaeo,NZ,61.0,-35.1,173.78,Bushido Lodge
341,Camacha,PT,68.0,33.08,-16.33,Hotel Porto Santo & Spa
342,Bibiani,GH,70.81,6.46,-2.32,Rodick Hotel
344,Naze,JP,78.8,28.37,129.48,奄美ポートタワーホテル
345,Portland,US,64.99,45.52,-122.68,Portland Marriott City Center
347,Kahului,US,84.2,20.89,-156.47,Maui Seaside Hotel
349,Shelburne,CA,68.0,44.08,-80.2,The Retreat at the Farm
351,Santa Rita,BR,69.62,-7.11,-34.98,Infinity Motel
352,Isla Vista,US,60.8,34.41,-119.86,Super 8 by Wyndham Santa Barbara/Goleta
353,Tamandare,BR,75.56,-8.76,-35.1,Pousada 100 Passos
356,Cockburn Town,TC,82.85,21.46,-71.14,Osprey Beach Hotel
357,Katobu,ID,85.87,-4.94,122.53,La Ode Husein
358,Hobyo,SO,82.74,5.35,48.53,Osmani Hotel
359,Mandalgovi,MN,72.07,45.76,106.27,В.Ганбат
360,Umm Kaddadah,SD,86.18,13.6,26.69,
361,Matamoros,MX,80.96,25.53,-103.25,Recreativo Sabdy Briseidy
362,Bernay,FR,50.0,49.17,0.67,L’escale du Bohain
363,Tiznit,MA,65.82,29.58,-9.5,
364,Ketchikan,US,55.4,55.34,-131.65,Snows Cove Lodge
365,Mulatupo,PA,78.44,8.95,-77.77,
366,Kelso,US,61.0,46.15,-122.91,GuestHouse Kelso Longview
367,Aklavik,CA,57.2,68.22,-135.01,Aklavik Inn
368,Anadyr,RU,77.0,64.75,177.48,"Гостиница ""Анадырь"""
369,Vung Tau,VN,85.95,10.35,107.08,Seaside Resort
371,Maxixe,MZ,55.4,-23.86,35.35,Oceano
372,Cotonou,BJ,78.8,6.37,2.42,Novotel Cotonou Orisha
374,Alice Springs,AU,60.8,-23.7,133.88,Desert Palms Alice Springs
375,Kailua,US,87.8,21.4,-157.74,Sheffield House Bed & Breakfast
376,Manaure,CO,81.5,11.78,-72.44,Del mar vendra
377,Sarkand,KZ,78.76,45.41,79.92,Гостиница Сарканд
378,Linqiong,CN,79.0,30.42,103.46,Tianlun Tanxianglou Hotel
380,Jeremie,HT,81.14,18.65,-74.12,Auberge Inn
381,Uchaly,RU,52.75,54.3,59.45,Mir
383,Olinda,BR,78.8,-8.01,-34.86,Hotel 5 Sóis
384,Pinega,RU,60.08,64.7,43.39,"Gostevoy Dom Ooo ""Pinezh'yeles"""
385,Sistranda,NO,60.8,63.73,8.83,Hotell Frøya
386,Nago,JP,78.8,26.59,127.98,Hotel Yugaf Inn Okinawa
389,Koumra,TD,73.89,8.91,17.55,Motel Espoir
390,Moranbah,AU,74.82,-22.0,148.05,Direct Hotels - Monterey Moranbah
391,Jumla,NP,75.0,29.27,82.18,Hotel Sundar Rara Karnali
392,Maragogi,BR,75.4,-9.01,-35.22,Salinas do Maragogi All Inclusive Resort
393,Tanout,NE,82.45,14.97,8.89,
394,Ballina,AU,66.99,-28.87,153.57,Ramada Hotel & Suites by Wyndham Ballina Byron
395,Ampanihy,MG,67.32,-24.7,44.75,Angora Hotel
396,Eureka,US,57.0,40.8,-124.16,Eureka Inn Trademark By Wyndham
397,Chernyshevskiy,RU,75.63,63.01,112.47,Chernyseyskiy
398,Zhezkazgan,KZ,80.6,47.8,67.71,Kvartiry Posutochno.
399,Champerico,GT,81.99,14.3,-91.92,"Hotel y restaurante ""El Diamante"""
400,Zeya,RU,59.22,53.75,127.27,Kapital Inn
401,Kambam,ID,83.35,5.25,96.86,Imam & ebenk homestay
402,Ambulu,ID,85.39,-8.35,113.61,Hotel Ambulu Jember
403,Ulaanbaatar,MN,68.0,47.91,106.88,The Blue Sky Hotel and Tower
404,Phalaborwa,ZA,53.35,-23.94,31.14,Bothabelo B&B
406,Port Hawkesbury,CA,52.0,45.62,-61.35,Hearthstone Inn Port Hawkesbury
407,Presidente Epitacio,BR,66.02,-21.76,-52.12,Hotel Itaverá
408,Bani Walid,LY,71.49,31.76,13.99,منزل الصابر أبوفانة
410,Parabel,RU,56.62,58.7,81.48,Housing Complex Gazprom Transgaz Tomsk
411,Airai,TL,71.04,-8.93,125.41,Juvinal Martin
413,Kaihua,CN,76.08,23.37,104.28,Zhongyu Hotel
414,Omvriaki,GR,71.01,39.1,22.27,ΜΗΤΡΟΠΟΛΗ ΦΘΙΩΤΙΔΑΣ
415,Mogadishu,SO,80.26,2.04,45.34,Hotel Juba
416,Aras,ES,59.0,42.56,-2.36,Jardines de Viana Spa
417,Muscatine,US,71.6,41.47,-91.13,Bed Bekfast
418,Tromso,NO,53.6,69.65,18.96,"Radisson Blu Hotel, Tromsø"
420,Ifo,NG,77.0,6.81,3.2,Peace Land Hotel
423,Celestun,MX,81.1,20.87,-90.4,Posada Lilia
424,Bujumbura,BI,70.99,-3.38,29.36,Bora Guest House
426,Innisfail,AU,74.43,-17.53,146.03,Moondarra Motel
428,Caravelas,BR,66.72,-17.71,-39.25,Pousada dos Navegantes
429,Crepaja,RS,64.4,45.01,20.64,Đurina kuća
433,Bathsheba,BB,82.4,13.22,-59.52,Atlantis Hotel
434,Bulungu,CD,66.16,-4.55,18.6,
435,Bunia,CD,64.62,1.57,30.25,Gold Star International Hotel
437,Inongo,CD,68.77,-1.95,18.27,Hotel Du Lac
