City_ID,City,Cloudiness,Country,Current Description,Date,Humidity,Lat,Lng,Max Temp,Rainfall,Snowfall,Wind Speed
80,Pevek,51,RU,broken clouds,2020-06-22 05:18:10,85,69.7,170.31,37.44,0.0,0,20.36
81,Nyurba,30,RU,scattered clouds,2020-06-22 05:18:10,39,63.28,118.33,79.95,0.0,0,9.22
82,San Jose,20,US,few clouds,2020-06-22 05:18:01,72,37.34,-121.89,66.0,0.0,0,8.05
83,Bluff,9,NZ,clear sky,2020-06-22 05:18:11,83,-46.6,168.33,39.0,0.0,0,3.0
84,Luena,0,AO,clear sky,2020-06-22 05:18:11,63,-11.78,19.92,45.72,0.0,0,4.47
85,Victoria Point,0,AU,clear sky,2020-06-22 05:16:40,45,-27.58,153.3,69.01,0.0,0,5.99
86,Matagami,20,CA,mist,2020-06-22 05:18:12,93,49.75,-77.63,64.4,0.0,0,6.93
87,Hobart,75,AU,heavy intensity shower rain,2020-06-22 05:18:12,93,-42.88,147.33,54.0,4.57,0,10.29
88,Belmonte,14,BR,light rain,2020-06-22 05:18:12,88,-15.86,-38.88,68.0,0.13,0,5.82
89,Yuanli,75,TW,broken clouds,2020-06-22 05:18:13,66,24.44,120.65,93.99,0.0,0,12.75
90,Castro,0,BR,clear sky,2020-06-22 05:15:30,82,-24.79,-50.01,56.23,0.0,0,3.67
91,Saldanha,43,ZA,scattered clouds,2020-06-22 05:18:13,93,-33.01,17.94,46.4,0.0,0,3.36
92,Chapais,90,CA,light rain,2020-06-22 05:17:40,77,49.78,-74.85,68.0,0.0,0,9.17
93,Grand Gaube,3,MU,moderate rain,2020-06-22 05:18:14,82,-20.01,57.66,73.0,1.52,0,7.0
94,Verkhoyansk,2,RU,clear sky,2020-06-22 05:18:14,21,67.54,133.38,89.51,0.0,0,3.13
95,Chumikan,100,RU,overcast clouds,2020-06-22 05:18:15,93,54.72,135.31,41.43,0.0,0,8.66
96,Ouallam,42,NE,scattered clouds,2020-06-22 05:18:15,41,14.32,2.09,89.42,0.0,0,15.32
97,Bengkulu,81,ID,broken clouds,2020-06-22 05:18:15,67,-3.8,102.27,84.67,0.0,0,7.16
98,Butaritari,60,KI,broken clouds,2020-06-22 05:18:15,75,3.07,172.79,83.39,0.0,0,12.53
99,Lodwar,49,KE,scattered clouds,2020-06-22 05:18:16,50,3.12,35.6,82.74,0.0,0,2.68
100,Riyadh,5,SA,clear sky,2020-06-22 05:18:16,17,24.69,46.72,89.6,0.0,0,13.87
101,Kluczbork,100,PL,overcast clouds,2020-06-22 05:18:16,99,50.97,18.22,63.0,0.0,0,4.0
102,Gobabis,0,NA,clear sky,2020-06-22 05:18:16,69,-22.45,18.97,37.4,0.0,0,2.24
103,Qui Nhon,17,VN,few clouds,2020-06-22 05:18:16,62,13.77,109.23,89.04,0.0,0,16.71
104,Buala,27,SB,light rain,2020-06-22 05:18:17,76,-8.14,159.59,83.79,0.85,0,6.31
105,Lagoa,0,PT,clear sky,2020-06-22 05:17:28,87,39.05,-27.98,65.91,0.0,0,21.97
106,Carmelo,100,UY,overcast clouds,2020-06-22 05:18:17,87,-33.99,-58.29,51.8,0.0,0,4.81
107,Bahia Blanca,82,AR,broken clouds,2020-06-22 05:18:18,53,-38.72,-62.27,46.71,0.0,0,6.35
108,Kostrzyn,97,PL,overcast clouds,2020-06-22 05:18:18,99,52.4,17.23,64.99,0.0,0,8.01
109,Nishihara,90,JP,shower rain,2020-06-22 05:18:18,94,26.18,127.76,82.4,0.0,0,8.05
110,Wageningen,40,NL,scattered clouds,2020-06-22 05:18:18,93,51.97,5.67,60.01,0.0,0,3.36
111,Havoysund,40,NO,scattered clouds,2020-06-22 05:18:18,75,71.0,24.66,46.4,0.0,0,6.93
112,Kharan,0,PK,clear sky,2020-06-22 05:18:19,25,28.58,65.42,97.5,0.0,0,3.98
113,Ojinaga,1,MX,clear sky,2020-06-22 05:18:19,19,29.57,-104.42,91.4,0.0,0,3.36
114,Shimoda,75,JP,light intensity shower rain,2020-06-22 05:18:19,94,34.67,138.95,68.0,0.0,0,27.51
115,Coari,67,BR,broken clouds,2020-06-22 05:18:19,86,-4.08,-63.14,75.34,0.0,0,2.1
116,Wawa,78,NG,broken clouds,2020-06-22 05:18:20,92,9.9,4.42,74.3,0.0,0,5.99
117,Grand-Lahou,100,CI,light rain,2020-06-22 05:18:20,90,5.14,-5.02,75.87,0.33,0,8.46
118,Tilichiki,0,RU,light rain,2020-06-22 05:18:20,66,60.47,166.1,63.68,0.23,0,7.02
119,Sinnamary,1,GF,clear sky,2020-06-22 05:18:20,86,5.38,-52.95,77.99,0.0,0,7.83
120,Jackson,1,US,clear sky,2020-06-22 05:18:20,52,42.42,-122.83,69.8,0.0,0,4.7
121,Batticaloa,100,LK,overcast clouds,2020-06-22 05:18:21,54,7.71,81.69,90.57,0.0,0,15.19
122,Khorixas,0,NA,clear sky,2020-06-22 05:18:21,41,-20.37,14.97,52.99,0.0,0,9.15
123,Aleksandrov Gay,9,RU,clear sky,2020-06-22 05:18:22,56,50.15,48.57,66.79,0.0,0,17.0
124,Mount Gambier,75,AU,shower rain,2020-06-22 05:16:02,87,-37.83,140.77,51.8,0.0,0,16.11
125,Cabo San Lucas,4,MX,clear sky,2020-06-22 05:18:22,51,22.89,-109.91,79.0,0.0,0,5.26
126,Wamba,91,NG,overcast clouds,2020-06-22 05:18:22,94,8.93,8.6,72.41,0.0,0,1.52
127,Waipawa,89,NZ,light rain,2020-06-22 05:18:22,93,-41.41,175.52,55.0,0.13,0,8.05
128,Dikson,99,RU,light rain,2020-06-22 05:18:23,81,73.51,80.55,43.48,0.13,0,16.67
129,Broken Hill,75,AU,broken clouds,2020-06-22 05:18:23,54,-31.95,141.43,57.2,0.0,0,18.34
130,Marsabit,49,KE,scattered clouds,2020-06-22 05:18:23,77,2.33,37.99,64.45,0.0,0,7.43
131,Novoagansk,92,RU,moderate rain,2020-06-22 05:18:24,77,61.94,76.66,53.22,1.39,0,17.25
132,Andenes,36,NO,scattered clouds,2020-06-22 05:18:24,87,69.31,16.12,53.6,0.0,0,9.17
133,Dingle,76,PH,broken clouds,2020-06-22 05:15:52,62,11.0,122.67,89.82,0.0,0,6.62
134,San Patricio,18,MX,few clouds,2020-06-22 05:18:24,70,19.22,-104.7,80.8,0.0,0,2.77
135,Salinopolis,92,BR,light rain,2020-06-22 05:18:21,87,-0.61,-47.36,77.88,0.25,0,10.85
136,Oktyabrskoye,100,RU,light rain,2020-06-22 05:18:25,73,43.06,44.74,69.8,0.29,0,4.47
137,Rawson,79,AR,broken clouds,2020-06-22 05:18:25,52,-43.3,-65.1,48.13,0.0,0,15.61
138,Christchurch,26,NZ,scattered clouds,2020-06-22 05:16:58,87,-43.53,172.63,48.99,0.0,0,8.05
139,Dzhalil,12,RU,few clouds,2020-06-22 05:18:25,67,55.02,52.74,52.77,0.0,0,8.88
140,Lorengau,19,PG,few clouds,2020-06-22 05:18:26,63,-2.02,147.27,86.27,0.0,0,3.6
141,Constitucion,99,CL,overcast clouds,2020-06-22 05:18:26,78,-35.33,-72.42,51.19,0.0,0,8.99
142,Shirgaon,75,IN,haze,2020-06-22 05:18:26,74,19.7,72.7,87.8,0.0,0,12.75
143,Bahia De Caraquez,99,EC,overcast clouds,2020-06-22 05:18:26,85,-0.6,-80.42,74.48,0.0,0,9.46
144,Codrington,71,AU,light rain,2020-06-22 05:18:27,79,-38.27,141.97,55.08,0.59,0,20.22
145,Crib Point,100,AU,light rain,2020-06-22 05:18:27,95,-38.35,145.2,50.0,0.25,0,18.9
146,Lamar,1,US,clear sky,2020-06-22 05:18:27,94,33.67,-95.58,70.0,0.0,0,4.7
147,Saskylakh,72,RU,broken clouds,2020-06-22 05:18:27,43,71.92,114.08,73.11,0.0,0,8.55
148,Yemelyanovo,40,RU,scattered clouds,2020-06-22 05:18:28,55,56.17,92.68,66.2,0.0,0,2.24
149,Boditi,58,ET,broken clouds,2020-06-22 05:18:28,89,6.97,37.87,60.85,0.0,0,1.68
150,Arraial Do Cabo,0,BR,clear sky,2020-06-22 05:16:19,83,-22.97,-42.03,72.52,0.0,0,7.67
151,Severo-Kurilsk,96,RU,overcast clouds,2020-06-22 05:18:28,78,50.68,156.12,49.64,0.0,0,7.14
152,Kaitangata,0,NZ,clear sky,2020-06-22 05:18:29,73,-46.28,169.85,43.0,0.0,0,3.0
153,Elat,0,IL,clear sky,2020-06-22 05:18:29,19,29.56,34.95,89.6,0.0,0,7.96
154,Sainte-Anne-Des-Monts,53,CA,broken clouds,2020-06-22 05:18:30,90,49.12,-66.49,58.82,0.0,0,1.25
155,Tuktoyaktuk,75,CA,broken clouds,2020-06-22 05:18:30,71,69.45,-133.04,50.0,0.0,0,9.17
